,ISIN,RIC,data,model,file,GSA
3,FR0000073272,SAF.PA,FOB,CNN,FR0000073272_FOB_CNN,PENDING
4,FR0000073272,SAF.PA,FOB,LSTM,FR0000073272_FOB_LSTM,PENDING
5,FR0000073272,SAF.PA,FOB,CNN_LSTM,FR0000073272_FOB_CNN_LSTM,PENDING
6,FR0000073272,SAF.PA,OHLCV_FOB,CNN,FR0000073272_OHLCV_FOB_CNN,PENDING
7,FR0000073272,SAF.PA,OHLCV_FOB,LSTM,FR0000073272_OHLCV_FOB_LSTM,PENDING
8,FR0000073272,SAF.PA,OHLCV_FOB,CNN_LSTM,FR0000073272_OHLCV_FOB_CNN_LSTM,PENDING
12,FR0000120271,TTEF.PA,FOB,CNN,FR0000120271_FOB_CNN,PENDING
13,FR0000120271,TTEF.PA,FOB,LSTM,FR0000120271_FOB_LSTM,PENDING
14,FR0000120271,TTEF.PA,FOB,CNN_LSTM,FR0000120271_FOB_CNN_LSTM,PENDING
15,FR0000120271,TTEF.PA,OHLCV_FOB,CNN,FR0000120271_OHLCV_FOB_CNN,PENDING
16,FR0000120271,TTEF.PA,OHLCV_FOB,LSTM,FR0000120271_OHLCV_FOB_LSTM,PENDING
17,FR0000120271,TTEF.PA,OHLCV_FOB,CNN_LSTM,FR0000120271_OHLCV_FOB_CNN_LSTM,PENDING
21,FR0000120321,OREP.PA,FOB,CNN,FR0000120321_FOB_CNN,PENDING
22,FR0000120321,OREP.PA,FOB,LSTM,FR0000120321_FOB_LSTM,PENDING
23,FR0000120321,OREP.PA,FOB,CNN_LSTM,FR0000120321_FOB_CNN_LSTM,PENDING
24,FR0000120321,OREP.PA,OHLCV_FOB,CNN,FR0000120321_OHLCV_FOB_CNN,PENDING
25,FR0000120321,OREP.PA,OHLCV_FOB,LSTM,FR0000120321_OHLCV_FOB_LSTM,PENDING
26,FR0000120321,OREP.PA,OHLCV_FOB,CNN_LSTM,FR0000120321_OHLCV_FOB_CNN_LSTM,PENDING
30,FR0000120578,SASY.PA,FOB,CNN,FR0000120578_FOB_CNN,PENDING
31,FR0000120578,SASY.PA,FOB,LSTM,FR0000120578_FOB_LSTM,PENDING
32,FR0000120578,SASY.PA,FOB,CNN_LSTM,FR0000120578_FOB_CNN_LSTM,PENDING
33,FR0000120578,SASY.PA,OHLCV_FOB,CNN,FR0000120578_OHLCV_FOB_CNN,PENDING
34,FR0000120578,SASY.PA,OHLCV_FOB,LSTM,FR0000120578_OHLCV_FOB_LSTM,PENDING
35,FR0000120578,SASY.PA,OHLCV_FOB,CNN_LSTM,FR0000120578_OHLCV_FOB_CNN_LSTM,PENDING
39,FR0000120693,PERP.PA,FOB,CNN,FR0000120693_FOB_CNN,PENDING
40,FR0000120693,PERP.PA,FOB,LSTM,FR0000120693_FOB_LSTM,PENDING
41,FR0000120693,PERP.PA,FOB,CNN_LSTM,FR0000120693_FOB_CNN_LSTM,PENDING
42,FR0000120693,PERP.PA,OHLCV_FOB,CNN,FR0000120693_OHLCV_FOB_CNN,PENDING
43,FR0000120693,PERP.PA,OHLCV_FOB,LSTM,FR0000120693_OHLCV_FOB_LSTM,PENDING
44,FR0000120693,PERP.PA,OHLCV_FOB,CNN_LSTM,FR0000120693_OHLCV_FOB_CNN_LSTM,PENDING
48,FR0000121329,TCFP.PA,FOB,CNN,FR0000121329_FOB_CNN,PENDING
49,FR0000121329,TCFP.PA,FOB,LSTM,FR0000121329_FOB_LSTM,PENDING
50,FR0000121329,TCFP.PA,FOB,CNN_LSTM,FR0000121329_FOB_CNN_LSTM,PENDING
51,FR0000121329,TCFP.PA,OHLCV_FOB,CNN,FR0000121329_OHLCV_FOB_CNN,PENDING
52,FR0000121329,TCFP.PA,OHLCV_FOB,LSTM,FR0000121329_OHLCV_FOB_LSTM,PENDING
53,FR0000121329,TCFP.PA,OHLCV_FOB,CNN_LSTM,FR0000121329_OHLCV_FOB_CNN_LSTM,PENDING
57,FR0000121485,PRTP.PA,FOB,CNN,FR0000121485_FOB_CNN,PENDING
58,FR0000121485,PRTP.PA,FOB,LSTM,FR0000121485_FOB_LSTM,PENDING
59,FR0000121485,PRTP.PA,FOB,CNN_LSTM,FR0000121485_FOB_CNN_LSTM,PENDING
60,FR0000121485,PRTP.PA,OHLCV_FOB,CNN,FR0000121485_OHLCV_FOB_CNN,PENDING
61,FR0000121485,PRTP.PA,OHLCV_FOB,LSTM,FR0000121485_OHLCV_FOB_LSTM,PENDING
62,FR0000121485,PRTP.PA,OHLCV_FOB,CNN_LSTM,FR0000121485_OHLCV_FOB_CNN_LSTM,PENDING
66,FR0000121972,SCHN.PA,FOB,CNN,FR0000121972_FOB_CNN,PENDING
67,FR0000121972,SCHN.PA,FOB,LSTM,FR0000121972_FOB_LSTM,PENDING
